Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
42,7,3,23,9,Some Random Commen with Id 42
43,7,3,188,8,Some Random Commen with Id 43
44,7,3,19,2,Some Random Commen with Id 44
45,8,9,96,1,Some Random Commen with Id 45
46,8,9,0,4,Some Random Commen with Id 46
47,9,7,122,1,Some Random Commen with Id 47
48,9,7,42,4,Some Random Commen with Id 48
49,9,7,9,7,Some Random Commen with Id 49
50,10,6,166,7,Some Random Commen with Id 50
51,10,6,125,7,Some Random Commen with Id 51
52,10,6,71,0,Some Random Commen with Id 52
53,10,6,58,7,Some Random Commen with Id 53
54,10,6,51,9,Some Random Commen with Id 54
55,10,6,98,2,Some Random Commen with Id 55
56,10,6,83,3,Some Random Commen with Id 56
57,10,6,191,7,Some Random Commen with Id 57
58,11,1,156,5,Some Random Commen with Id 58
59,11,1,50,7,Some Random Commen with Id 59
60,11,1,46,6,Some Random Commen with Id 60
61,11,1,124,4,Some Random Commen with Id 61
62,11,1,136,9,Some Random Commen with Id 62
63,11,1,98,2,Some Random Commen with Id 63
64,11,1,183,6,Some Random Commen with Id 64
65,11,1,27,9,Some Random Commen with Id 65
66,13,5,167,3,Some Random Commen with Id 66
67,13,5,2,6,Some Random Commen with Id 67
68,13,5,103,2,Some Random Commen with Id 68
69,13,5,99,6,Some Random Commen with Id 69
70,13,5,69,5,Some Random Commen with Id 70
71,14,6,143,9,Some Random Commen with Id 71
72,14,6,162,1,Some Random Commen with Id 72
73,14,6,136,7,Some Random Commen with Id 73
74,14,6,117,0,Some Random Commen with Id 74
75,14,6,74,3,Some Random Commen with Id 75
76,14,6,157,1,Some Random Commen with Id 76
77,14,6,92,4,Some Random Commen with Id 77
78,16,2,27,5,Some Random Commen with Id 78
79,16,2,44,7,Some Random Commen with Id 79
80,16,2,11,8,Some Random Commen with Id 80
81,16,2,178,5,Some Random Commen with Id 81
82,16,2,135,4,Some Random Commen with Id 82
83,16,2,142,2,Some Random Commen with Id 83
84,16,2,24,1,Some Random Commen with Id 84
85,16,2,68,7,Some Random Commen with Id 85
86,16,2,35,0,Some Random Commen with Id 86
87,18,9,147,9,Some Random Commen with Id 87
88,18,9,111,5,Some Random Commen with Id 88
89,18,9,71,1,Some Random Commen with Id 89
90,18,9,79,9,Some Random Commen with Id 90
91,18,9,46,9,Some Random Commen with Id 91
92,18,9,88,4,Some Random Commen with Id 92
93,19,2,146,0,Some Random Commen with Id 93
94,19,2,79,3,Some Random Commen with Id 94
95,19,2,91,5,Some Random Commen with Id 95
96,19,2,176,5,Some Random Commen with Id 96
97,19,2,146,5,Some Random Commen with Id 97
98,19,2,57,6,Some Random Commen with Id 98
99,19,2,193,3,Some Random Commen with Id 99
100,20,3,88,4,Some Random Commen with Id 100
101,21,6,106,0,Some Random Commen with Id 101
102,21,6,165,6,Some Random Commen with Id 102
103,21,6,54,3,Some Random Commen with Id 103
104,23,9,99,0,Some Random Commen with Id 104
105,23,9,98,5,Some Random Commen with Id 105
106,23,9,34,3,Some Random Commen with Id 106
107,23,9,27,6,Some Random Commen with Id 107
108,23,9,71,1,Some Random Commen with Id 108
109,23,9,43,9,Some Random Commen with Id 109
110,23,9,24,7,Some Random Commen with Id 110
111,24,5,112,9,Some Random Commen with Id 111
112,24,5,16,2,Some Random Commen with Id 112
113,24,5,158,4,Some Random Commen with Id 113
114,25,4,97,5,Some Random Commen with Id 114
115,25,4,142,3,Some Random Commen with Id 115
116,25,4,82,9,Some Random Commen with Id 116
117,25,4,28,2,Some Random Commen with Id 117
118,25,4,6,8,Some Random Commen with Id 118
119,25,4,72,8,Some Random Commen with Id 119
120,25,4,71,1,Some Random Commen with Id 120
121,25,4,43,3,Some Random Commen with Id 121
122,25,4,174,6,Some Random Commen with Id 122
123,27,4,173,6,Some Random Commen with Id 123
124,27,4,184,2,Some Random Commen with Id 124
125,28,3,183,2,Some Random Commen with Id 125
126,28,3,72,4,Some Random Commen with Id 126
127,28,3,95,8,Some Random Commen with Id 127
128,29,0,71,2,Some Random Commen with Id 128
129,29,0,67,9,Some Random Commen with Id 129
130,30,2,80,0,Some Random Commen with Id 130
131,30,2,177,3,Some Random Commen with Id 131
132,30,2,152,9,Some Random Commen with Id 132
133,31,1,40,0,Some Random Commen with Id 133
134,31,1,0,7,Some Random Commen with Id 134
135,32,9,185,7,Some Random Commen with Id 135
136,32,9,197,7,Some Random Commen with Id 136
137,32,9,40,9,Some Random Commen with Id 137
138,32,9,74,4,Some Random Commen with Id 138
139,32,9,140,0,Some Random Commen with Id 139
140,33,9,26,5,Some Random Commen with Id 140
141,33,9,188,3,Some Random Commen with Id 141
142,33,9,190,2,Some Random Commen with Id 142
143,33,9,37,8,Some Random Commen with Id 143
144,33,9,102,3,Some Random Commen with Id 144
145,33,9,180,8,Some Random Commen with Id 145
146,33,9,189,1,Some Random Commen with Id 146
147,33,9,13,6,Some Random Commen with Id 147
148,33,9,24,5,Some Random Commen with Id 148
149,34,2,64,5,Some Random Commen with Id 149
150,34,2,192,9,Some Random Commen with Id 150
151,35,7,6,7,Some Random Commen with Id 151
152,35,7,52,8,Some Random Commen with Id 152
153,35,7,89,3,Some Random Commen with Id 153
154,35,7,149,3,Some Random Commen with Id 154
155,35,7,165,2,Some Random Commen with Id 155
156,35,7,131,8,Some Random Commen with Id 156
157,36,8,168,4,Some Random Commen with Id 157
158,36,8,13,8,Some Random Commen with Id 158
159,36,8,109,1,Some Random Commen with Id 159
160,36,8,65,4,Some Random Commen with Id 160
161,36,8,115,4,Some Random Commen with Id 161
162,36,8,74,2,Some Random Commen with Id 162
163,36,8,17,2,Some Random Commen with Id 163
164,36,8,31,6,Some Random Commen with Id 164
165,36,8,154,4,Some Random Commen with Id 165
166,37,6,170,8,Some Random Commen with Id 166
167,37,6,107,3,Some Random Commen with Id 167
168,37,6,13,3,Some Random Commen with Id 168
169,37,6,81,7,Some Random Commen with Id 169
170,37,6,92,0,Some Random Commen with Id 170
171,38,3,53,5,Some Random Commen with Id 171
172,38,3,54,7,Some Random Commen with Id 172
173,38,3,117,4,Some Random Commen with Id 173
174,38,3,111,1,Some Random Commen with Id 174
175,38,3,69,4,Some Random Commen with Id 175
176,38,3,43,5,Some Random Commen with Id 176
177,38,3,30,5,Some Random Commen with Id 177
178,39,2,195,7,Some Random Commen with Id 178
